Binary,Integer,Number of Gates,Optimal Network
0000.0000.1000.1111,143,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(c, I3)"
0000.0000.1001.0110,150,11,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(d, a)
I3 = NAND(I4, I2)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, b)
I7 = NAND(I8)
I8 = NAND(I9, a)
I9 = NAND(b, I6)"
0000.0000.1001.0111,151,11,"O = NAND(I1, I14)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c, a)
I4 = NAND(I5, I13)
I5 = NAND(I3, I7)
I7 = NAND(I8, I3)
I8 = NAND(I9, a)
I9 = NAND(b, I2)"
0000.0000.1001.1000,152,8,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c, a)
I4 = NAND(I5, I7)
I5 = NAND(I3, a)
I7 = NAND(d, I8)"
0000.0000.1001.1010,154,8,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(c, I4)
I4 = NAND(b)
I5 = NAND(I6, I9)
I6 = NAND(I3, a)"
0000.0000.1001.1011,155,8,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(d, c)
I4 = NAND(I5, I8)
I5 = NAND(I6, a)
I6 = NAND(c, I3)"
0000.0000.1001.1110,158,10,"O = NAND(I1, I10)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(c, b)
I5 = NAND(I6, I9)
I6 = NAND(I7, a)
I7 = NAND(c, I4)
I9 = NAND(a, d)"
0000.0000.1001.1111,159,8,"O = NAND(I1, I8)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(d, c)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(c, I3)"
0000.0000.1010.1000,168,6,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(b, c)"
0000.0000.1010.1001,169,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b, c)
I4 = NAND(I5, I7)
I5 = NAND(I3, a)"
0000.0000.1010.1011,171,4,"O = NAND(I1)
I1 = NAND(I2, a)
I2 = NAND(d, I3)
I3 = NAND(b, c)"
0000.0000.1010.1100,172,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(b, c)"
