Binary,Integer,Number of Gates,Optimal Network
0010.1100.1110.1010,11498,10,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(d, I3)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(a, b)
I7 = NAND(I4, I10)"
0010.1100.1110.1011,11499,10,"O = NAND(I1, I15)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(I4, b)
I4 = NAND(I5, a)
I5 = NAND(I6, I8)
I6 = NAND(I7, c)
I7 = NAND(b, c)
I8 = NAND(b, I7)"
0010.1100.1110.1100,11500,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(a, I5)"
0010.1100.1110.1101,11501,9,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I7)
I4 = NAND(I5, c)
I5 = NAND(b, I2)
I7 = NAND(a, I5)"
0010.1100.1110.1110,11502,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(b, I5)"
0010.1100.1110.1111,11503,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(b, I5)"
0010.1100.1111.0000,11504,9,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(b, a)
I7 = NAND(b, c)
I8 = NAND(a, I6)"
0010.1100.1111.0001,11505,10,"O = NAND(I1, I17)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(b, I8)
I8 = NAND(I3, I11)"
0010.1100.1111.0010,11506,10,"O = NAND(I1, I9)
I1 = NAND(I2, c)
I2 = NAND(I3, c)
I3 = NAND(I4, I7)
I4 = NAND(d, I5)
I5 = NAND(a, I6)
I6 = NAND(b, a)
I7 = NAND(b, I6)
I9 = NAND(I10, I2)"
0010.1100.1111.0011,11507,10,"O = NAND(I1, I12)
I1 = NAND(I2, I8)
I2 = NAND(I3, c)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(b, a)
I6 = NAND(b, I5)
I8 = NAND(I9, I6)
I9 = NAND(c)"
0010.1100.1111.0100,11508,9,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(b, d)
I6 = NAND(a, I5)
I8 = NAND(b, I2)"
0010.1100.1111.0101,11509,10,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(a)
I7 = NAND(b, c)
I8 = NAND(a, I9)
I9 = NAND(b, I4)"
0010.1100.1111.0110,11510,10,"O = NAND(I1, I9)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(a, I4)
I8 = NAND(b, c)
I9 = NAND(a, I10)"
0010.1100.1111.0111,11511,10,"O = NAND(I1, I11)
I1 = NAND(I2, I5)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(b, c)
I6 = NAND(b, I7)
I7 = NAND(a, I4)"
0010.1100.1111.1000,11512,10,"O = NAND(I1, I10)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(I4, b)
I4 = NAND(b, a)
I5 = NAND(I6, I8)
I6 = NAND(I7, c)
I7 = NAND(b, c)
I8 = NAND(b, I7)"
0010.1100.1111.1001,11513,10,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(b, I8)
I8 = NAND(I3, I11)"
0010.1100.1111.1010,11514,10,"O = NAND(I1, I14)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(a)
I5 = NAND(I6, I9)
I6 = NAND(I3, c)
I9 = NAND(b, I10)"
0010.1100.1111.1011,11515,10,"O = NAND(I1, I11)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(a)
I5 = NAND(I6, I9)
I6 = NAND(I3, c)
I9 = NAND(b, I10)"
0010.1100.1111.1100,11516,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(b, I5)"
0010.1100.1111.1101,11517,8,"O = NAND(I1, I7)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b)
I6 = NAND(b, c)
I7 = NAND(a, I3)"
0010.1100.1111.1110,11518,8,"O = NAND(I1, I9)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)"
0010.1100.1111.1111,11519,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(b, c)
I6 = NAND(b, I5)"
0010.1101.1101.0000,11728,11,"O = NAND(I1, I21)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(I3, b)
I8 = NAND(I9)
I9 = NAND(I10, I14)
I10 = NAND(b, I5)"
0010.1101.1101.0001,11729,11,"O = NAND(I1, I15)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b)
I6 = NAND(I7, I4)
I7 = NAND(I8, I9)
I8 = NAND(b, c)
I9 = NAND(a, I2)"
0010.1101.1101.0010,11730,11,"O = NAND(I1, I13)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(a, b)
I7 = NAND(I8, c)
I8 = NAND(I5, I11)"
0010.1101.1101.0011,11731,11,"O = NAND(I1, I14)
I1 = NAND(I2, I8)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a, b)
I6 = NAND(b, I5)
I8 = NAND(I9, c)
I9 = NAND(I6, I12)"
0010.1101.1101.0100,11732,12,"O = NAND(I1, I23)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(I3, b)
I8 = NAND(I9, I21)
I9 = NAND(I10, I14)
I10 = NAND(b, I5)"
0010.1101.1101.0101,11733,11,"O = NAND(I1, I15)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b)
I6 = NAND(I7, I4)
I7 = NAND(I8, I9)
I8 = NAND(b, c)
I9 = NAND(a, I2)"
0010.1101.1101.0110,11734,12,"O = NAND(I1, I17)
I1 = NAND(I2, I14)
I2 = NAND(I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(I6, c)
I6 = NAND(d, c)
I7 = NAND(b, I5)
I10 = NAND(b, I7)"
0010.1101.1101.0111,11735,11,"O = NAND(I1, I16)
I1 = NAND(I2, I14)
I2 = NAND(I3, I7)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(I6, c)
I6 = NAND(d)
I7 = NAND(b, I5)
I10 = NAND(b, c)"
0010.1101.1101.1000,11736,11,"O = NAND(I1, I15)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, d)
I6 = NAND(I7, I2)
I7 = NAND(I8, I9)
I8 = NAND(b)
I9 = NAND(a, I4)"
0010.1101.1101.1001,11737,12,"O = NAND(I1, I18)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(b, c)
I7 = NAND(I8, I2)
I8 = NAND(I6, I10)
I10 = NAND(a, I11)
I11 = NAND(I4, b)"
0010.1101.1101.1010,11738,11,"O = NAND(I1, I16)
I1 = NAND(I2, I15)
I2 = NAND(I3, I7)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(I6, c)
I6 = NAND(d)
I7 = NAND(b, I5)
I10 = NAND(b, I6)"
0010.1101.1101.1011,11739,12,"O = NAND(I1, I14)
I1 = NAND(I2, I12)
I2 = NAND(I3, I10)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(d, b)
I6 = NAND(I7, I5)
I7 = NAND(I8, c)
I8 = NAND(b, c)
I10 = NAND(b, I8)"
0010.1101.1101.1100,11740,11,"O = NAND(I1, I21)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(I3, b)
I8 = NAND(I9, I2)
I9 = NAND(I10, I14)
I10 = NAND(b, I5)"
0010.1101.1101.1101,11741,10,"O = NAND(I1, I10)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b)
I6 = NAND(I7, c)
I7 = NAND(I5, I9)
I9 = NAND(a)"
0010.1101.1101.1110,11742,11,"O = NAND(I1, I14)
I1 = NAND(I2, I26)
I2 = NAND(I3, I14)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(I6, c)
I6 = NAND(d)
I7 = NAND(b, I5)
I10 = NAND(b, I7)"
0010.1101.1101.1111,11743,11,"O = NAND(I1, I10)
I1 = NAND(I2, I13)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(I3, I8)
I8 = NAND(I9, I11)
I9 = NAND(b, I10)
I10 = NAND(b, a)"
0010.1101.1110.0000,11744,10,"O = NAND(I1, I14)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I14)
I4 = NAND(I5, I6)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(c, I2)
I9 = NAND(a)"
0010.1101.1110.0001,11745,8,"O = NAND(I1, I13)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b, I2)"
0010.1101.1110.0010,11746,11,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I7)
I4 = NAND(I5, c)
I5 = NAND(b, I6)
I6 = NAND(a, b)
I7 = NAND(a, I6)
I9 = NAND(I10, I13)
I10 = NAND(I5)"
0010.1101.1110.0011,11747,10,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b, I8)
I8 = NAND(b, I9)
I9 = NAND(I2, I15)"
0010.1101.1110.0100,11748,11,"O = NAND(I1, I15)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I14)
I4 = NAND(I5, I6)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(c, I2)
I9 = NAND(a)"
0010.1101.1110.0101,11749,10,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b, I8)
I8 = NAND(b, I9)
I9 = NAND(I2, I15)"
0010.1101.1110.0110,11750,11,"O = NAND(I1, I9)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, I6)
I6 = NAND(c, a)
I7 = NAND(b, I6)
I9 = NAND(I10, I13)
I10 = NAND(I7)"
0010.1101.1110.0111,11751,10,"O = NAND(I1, I9)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, I6)
I6 = NAND(c, a)
I7 = NAND(b, I4)
I9 = NAND(b, I10)"
0010.1101.1110.1000,11752,10,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b, I8)
I8 = NAND(I3, I11)"
0010.1101.1110.1001,11753,10,"O = NAND(I1, I17)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b, I8)
I8 = NAND(I3, I11)"
0010.1101.1110.1010,11754,11,"O = NAND(I1, I16)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I14)
I4 = NAND(I5, I6)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(c, I2)
I9 = NAND(a, d)"
0010.1101.1110.1011,11755,11,"O = NAND(I1, I30)
I1 = NAND(I2, I15)
I2 = NAND(d, I3)
I3 = NAND(I4, I5)
I4 = NAND(b, I5)
I5 = NAND(I6, I8)
I6 = NAND(c, I7)
I7 = NAND(c, d)
I8 = NAND(a, I7)"
0010.1101.1110.1100,11756,9,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a, I6)
I6 = NAND(c, I7)
I7 = NAND(b)"
0010.1101.1110.1101,11757,8,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I4)
I7 = NAND(b)"
0010.1101.1110.1110,11758,10,"O = NAND(I1, I11)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I9)
I4 = NAND(I5, c)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(c, I2)
I9 = NAND(a)"
0010.1101.1110.1111,11759,8,"O = NAND(I1, I12)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I3)"
0010.1101.1111.0000,11760,8,"O = NAND(I1, I11)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a)
I6 = NAND(b, I2)"
0010.1101.1111.0001,11761,9,"O = NAND(I1, I17)
I1 = NAND(I2, I9)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a, I6)
I6 = NAND(c, b)"
0010.1101.1111.0010,11762,10,"O = NAND(I1, I13)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)
I8 = NAND(b, I9)
I9 = NAND(I3, I12)"
0010.1101.1111.0011,11763,10,"O = NAND(I1, I14)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I3)
I8 = NAND(b, I9)
I9 = NAND(I3, I12)"
0010.1101.1111.0100,11764,10,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a)
I6 = NAND(a, I7)
I7 = NAND(d, b)
I8 = NAND(b, I2)"
0010.1101.1111.0101,11765,9,"O = NAND(I1, I13)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, I6)
I6 = NAND(b, d)
I7 = NAND(b, I2)"
0010.1101.1111.0110,11766,11,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I3)
I8 = NAND(b, I9)
I9 = NAND(I3, I12)"
0010.1101.1111.0111,11767,10,"O = NAND(I1, I14)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)
I8 = NAND(b, I9)
I9 = NAND(I3, I12)"
0010.1101.1111.1000,11768,9,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, I6)
I6 = NAND(b, I4)
I8 = NAND(b, I2)"
0010.1101.1111.1001,11769,10,"O = NAND(I1, I17)
I1 = NAND(I2, I9)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(a, I6)
I6 = NAND(I7, b)
I7 = NAND(d, I4)
I9 = NAND(b, I2)"
0010.1101.1111.1010,11770,10,"O = NAND(I1, I13)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)
I8 = NAND(b, I9)
I9 = NAND(I3, I12)"
0010.1101.1111.1011,11771,10,"O = NAND(I1, I16)
I1 = NAND(I2, I10)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a, d)
I6 = NAND(b, I3)"
0010.1101.1111.1100,11772,8,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a)
I7 = NAND(b)"
0010.1101.1111.1101,11773,8,"O = NAND(I1, I12)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)"
0010.1101.1111.1110,11774,10,"O = NAND(I1, I15)
I1 = NAND(I2, I10)
I2 = NAND(I3, I6)
I3 = NAND(I4, c)
I4 = NAND(d, I5)
I5 = NAND(a)
I6 = NAND(b, I3)"
0010.1101.1111.1111,11775,8,"O = NAND(I1, I12)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I3)"
0010.1110.1110.0000,12000,9,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a, I8)
I8 = NAND(I4, I5)"
0010.1110.1110.0001,12001,10,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I5)
I8 = NAND(I9, I4)
I9 = NAND(I10, I2)"
0010.1110.1110.0010,12002,8,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4, I2)
I4 = NAND(I5, I7)
I5 = NAND(b, I6)
I6 = NAND(b, a)
I7 = NAND(a, I6)"
0010.1110.1110.0011,12003,9,"O = NAND(I1, I4)
I1 = NAND(I2, c)
I2 = NAND(d, I3)
I3 = NAND(b, a)
I4 = NAND(I5, I10)
I5 = NAND(I6, I8)
I6 = NAND(b, I3)
I8 = NAND(a, I3)"
0010.1110.1110.0100,12004,11,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I5)
I8 = NAND(a, I9)
I9 = NAND(I10, I13)
I10 = NAND(I5, I2)"
0010.1110.1110.0101,12005,11,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I5)
I8 = NAND(a, I9)
I9 = NAND(I10, I13)
I10 = NAND(I5, I2)"
0010.1110.1110.0110,12006,10,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d)
I3 = NAND(I4, I10)
I4 = NAND(I5, I8)
I5 = NAND(b, I6)
I6 = NAND(a, I2)
I8 = NAND(a, I9)
I9 = NAND(b)"
0010.1110.1110.0111,12007,10,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d)
I3 = NAND(I4, I10)
I4 = NAND(I5, I8)
I5 = NAND(b, I6)
I6 = NAND(a, I2)
I8 = NAND(a, I9)
I9 = NAND(b, a)"
0010.1110.1110.1000,12008,11,"O = NAND(I1, I11)
I1 = NAND(I2, I6)
I2 = NAND(d, I3)
I3 = NAND(I4, I5)
I4 = NAND(c)
I5 = NAND(a, b)
I6 = NAND(I7, I9)
I7 = NAND(I5, c)
I9 = NAND(b, I4)"
0010.1110.1110.1001,12009,12,"O = NAND(I1, I12)
I1 = NAND(I2, c)
I2 = NAND(I3, I7)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(a, b)
I7 = NAND(b, I8)
I8 = NAND(c, I9)
I9 = NAND(d, I4)"
0010.1110.1110.1010,12010,9,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4, I2)
I4 = NAND(I5, I7)
I5 = NAND(b, I6)
I6 = NAND(a, d)
I7 = NAND(a, I8)
I8 = NAND(b)"
0010.1110.1110.1011,12011,10,"O = NAND(I1, I4)
I1 = NAND(I2, c)
I2 = NAND(d, I3)
I3 = NAND(a, b)
I4 = NAND(I5, I10)
I5 = NAND(I6, I8)
I6 = NAND(b, I7)
I7 = NAND(c)
I8 = NAND(a, I7)"
0010.1110.1110.1100,12012,9,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I5)
I8 = NAND(a, I9)"
0010.1110.1110.1101,12013,10,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I7)
I7 = NAND(a, I2)
I9 = NAND(a, I10)"
0010.1110.1110.1110,12014,7,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4)
I4 = NAND(I5, I7)
I5 = NAND(b, I2)"
0010.1110.1110.1111,12015,7,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I5)
I4 = NAND(c, I5)
I5 = NAND(b)"
0010.1110.1111.0000,12016,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, b)
I6 = NAND(b, I5)"
0010.1110.1111.0001,12017,8,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a)"
0010.1110.1111.0010,12018,8,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4, I8)
I4 = NAND(I5, I7)
I5 = NAND(b, I2)
I7 = NAND(a)"
0010.1110.1111.0011,12019,8,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4, I10)
I4 = NAND(I5, I7)
I5 = NAND(b, I2)
I7 = NAND(a, I5)"
0010.1110.1111.0100,12020,10,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I10)
I4 = NAND(I5, c)
I5 = NAND(a, I6)
I6 = NAND(a, I7)
I7 = NAND(b, I8)
I8 = NAND(d, I2)"
0010.1110.1111.0101,12021,9,"O = NAND(I1, I9)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a, I8)
I8 = NAND(d)"
0010.1110.1111.0110,12022,10,"O = NAND(I1, I5)
I1 = NAND(I2, c)
I2 = NAND(d, I3)
I3 = NAND(a, I4)
I4 = NAND(b)
I5 = NAND(I6, I14)
I6 = NAND(I7, I3)
I7 = NAND(b, I8)
I8 = NAND(a, I2)"
0010.1110.1111.0111,12023,9,"O = NAND(I1, I9)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(b, I6)
I6 = NAND(c)
I7 = NAND(a, I4)"
0010.1110.1111.1000,12024,10,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(d, I3)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, c)
I6 = NAND(b, a)
I7 = NAND(I4, I10)"
0010.1110.1111.1001,12025,10,"O = NAND(I1, I12)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a, I8)
I8 = NAND(I9, I3)
I9 = NAND(d)"
0010.1110.1111.1010,12026,9,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4, I9)
I4 = NAND(I5, I7)
I5 = NAND(b, I2)
I7 = NAND(a, I8)
I8 = NAND(b, d)"
0010.1110.1111.1011,12027,8,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a, d)"
0010.1110.1111.1100,12028,9,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, c)
I6 = NAND(b, I5)
I8 = NAND(a, I9)"
0010.1110.1111.1101,12029,8,"O = NAND(I1, I8)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b, I4)
I7 = NAND(a, b)"
0010.1110.1111.1110,12030,7,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(d, c)
I3 = NAND(I4, I5)
I4 = NAND(c)
I5 = NAND(b)
I6 = NAND(a, I5)"
0010.1110.1111.1111,12031,7,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d, c)
I3 = NAND(I4)
I4 = NAND(I5, I7)
I5 = NAND(b, I2)"
0010.1111.1111.0000,12272,8,"O = NAND(I1, I10)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(a, b)
I5 = NAND(I6, I3)
I6 = NAND(I4, c)"
0010.1111.1111.0001,12273,8,"O = NAND(I1, I8)
I1 = NAND(I2, I6)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(d, c)
I5 = NAND(b)
I6 = NAND(a, I4)"
0010.1111.1111.0010,12274,8,"O = NAND(I1, I3)
I1 = NAND(I2, c)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, I7)
I5 = NAND(b, I6)
I6 = NAND(b, a)
I7 = NAND(a, I6)"
