K,n,δ,A,up
0.031,3.2,330.0,20.0,1.6
0.031,3.2,330.0,20.0,1.7
0.031,3.2,335.0,20.0,1.0
0.031,3.2,335.0,20.0,1.1
0.031,3.2,335.0,20.0,1.2
0.031,3.2,335.0,20.0,1.3
0.031,3.2,335.0,20.0,1.4
0.031,3.2,335.0,20.0,1.5
0.031,3.2,335.0,20.0,1.6
0.031,3.2,335.0,20.0,1.7
0.031,3.2,335.0,20.0,1.8
0.031,3.2,340.0,20.0,1.0
0.031,3.2,340.0,20.0,1.1
0.031,3.2,340.0,20.0,1.2
0.031,3.2,340.0,20.0,1.3
0.031,3.2,340.0,20.0,1.4
0.031,3.2,340.0,20.0,1.5
0.031,3.2,340.0,20.0,1.6
0.031,3.2,340.0,20.0,1.7
0.031,3.2,340.0,20.0,1.8
0.031,3.2,340.0,20.0,1.9
0.031,3.2,340.0,20.0,2.0
0.031,3.2,345.0,20.0,1.0
0.031,3.2,345.0,20.0,1.1
0.031,3.2,345.0,20.0,1.2
0.031,3.2,345.0,20.0,1.3
0.031,3.2,345.0,20.0,1.4
0.031,3.2,345.0,20.0,1.5
0.031,3.2,345.0,20.0,1.6
0.031,3.2,345.0,20.0,1.7
0.031,3.2,345.0,20.0,1.8
0.031,3.2,345.0,20.0,1.9
0.031,3.2,345.0,20.0,2.0
0.031,3.2,345.0,20.0,2.1
0.031,3.2,350.0,20.0,1.0
0.031,3.2,350.0,20.0,1.1
0.031,3.2,350.0,20.0,1.2
0.031,3.2,350.0,20.0,1.3
0.031,3.2,350.0,20.0,1.4
0.031,3.2,350.0,20.0,1.5
0.031,3.2,350.0,20.0,1.6
0.031,3.2,350.0,20.0,1.7
0.031,3.2,350.0,20.0,1.8
0.031,3.2,350.0,20.0,1.9
0.031,3.2,350.0,20.0,2.0
0.031,3.2,350.0,20.0,2.1
0.031,3.2,350.0,20.0,2.2
0.031,3.2,350.0,20.0,2.3
0.031,3.3,295.0,20.0,1.0
0.031,3.3,300.0,20.0,1.0
0.031,3.3,305.0,20.0,1.0
0.031,3.3,305.0,20.0,1.1
0.031,3.3,310.0,20.0,1.0
0.031,3.3,310.0,20.0,1.1
0.031,3.3,310.0,20.0,1.2
0.031,3.3,315.0,20.0,1.0
0.031,3.3,315.0,20.0,1.1
0.031,3.3,315.0,20.0,1.2
0.031,3.3,315.0,20.0,1.3
0.031,3.3,320.0,20.0,1.0
0.031,3.3,320.0,20.0,1.1
0.031,3.3,320.0,20.0,1.2
0.031,3.3,320.0,20.0,1.3
0.031,3.3,320.0,20.0,1.4
0.031,3.3,325.0,20.0,1.0
0.031,3.3,325.0,20.0,1.1
0.031,3.3,325.0,20.0,1.2
0.031,3.3,325.0,20.0,1.3
0.031,3.3,325.0,20.0,1.4
0.031,3.3,325.0,20.0,1.5
0.031,3.3,330.0,20.0,1.0
0.031,3.3,330.0,20.0,1.1
0.031,3.3,330.0,20.0,1.2
0.031,3.3,330.0,20.0,1.3
0.031,3.3,330.0,20.0,1.4
0.031,3.3,330.0,20.0,1.5
0.031,3.3,330.0,20.0,1.6
0.031,3.3,335.0,20.0,1.0
0.031,3.3,335.0,20.0,1.1
0.031,3.3,335.0,20.0,1.2
0.031,3.3,335.0,20.0,1.3
0.031,3.3,335.0,20.0,1.4
0.031,3.3,335.0,20.0,1.5
0.031,3.3,335.0,20.0,1.6
0.031,3.3,335.0,20.0,1.7
0.031,3.3,335.0,20.0,1.8
0.031,3.3,340.0,20.0,1.0
0.031,3.3,340.0,20.0,1.1
0.031,3.3,340.0,20.0,1.2
0.031,3.3,340.0,20.0,1.3
0.031,3.3,340.0,20.0,1.4
0.031,3.3,340.0,20.0,1.5
0.031,3.3,340.0,20.0,1.6
0.031,3.3,340.0,20.0,1.7
0.031,3.3,340.0,20.0,1.8
0.031,3.3,340.0,20.0,1.9
0.031,3.3,345.0,20.0,1.0
0.031,3.3,345.0,20.0,1.1
0.031,3.3,345.0,20.0,1.2
0.031,3.3,345.0,20.0,1.3
0.031,3.3,345.0,20.0,1.4
0.031,3.3,345.0,20.0,1.5
0.031,3.3,345.0,20.0,1.6
0.031,3.3,345.0,20.0,1.7
0.031,3.3,345.0,20.0,1.8
0.031,3.3,345.0,20.0,1.9
0.031,3.3,345.0,20.0,2.0
0.031,3.3,350.0,20.0,1.0
0.031,3.3,350.0,20.0,1.1
0.031,3.3,350.0,20.0,1.2
0.031,3.3,350.0,20.0,1.3
0.031,3.3,350.0,20.0,1.4
0.031,3.3,350.0,20.0,1.5
0.031,3.3,350.0,20.0,1.6
0.031,3.3,350.0,20.0,1.7
0.031,3.3,350.0,20.0,1.8
0.031,3.3,350.0,20.0,1.9
0.031,3.3,350.0,20.0,2.0
0.031,3.3,350.0,20.0,2.1
0.031,3.3,350.0,20.0,2.2
0.031,3.4,300.0,20.0,1.0
0.031,3.4,305.0,20.0,1.0
0.031,3.4,305.0,20.0,1.1
0.031,3.4,310.0,20.0,1.0
0.031,3.4,310.0,20.0,1.1
0.031,3.4,310.0,20.0,1.2
0.031,3.4,315.0,20.0,1.0
0.031,3.4,315.0,20.0,1.1
0.031,3.4,315.0,20.0,1.2
0.031,3.4,315.0,20.0,1.3
0.031,3.4,320.0,20.0,1.0
0.031,3.4,320.0,20.0,1.1
0.031,3.4,320.0,20.0,1.2
0.031,3.4,320.0,20.0,1.3
0.031,3.4,320.0,20.0,1.4
0.031,3.4,325.0,20.0,1.0
0.031,3.4,325.0,20.0,1.1
0.031,3.4,325.0,20.0,1.2
0.031,3.4,325.0,20.0,1.3
0.031,3.4,325.0,20.0,1.4
0.031,3.4,325.0,20.0,1.5
0.031,3.4,330.0,20.0,1.0
0.031,3.4,330.0,20.0,1.1
0.031,3.4,330.0,20.0,1.2
0.031,3.4,330.0,20.0,1.3
0.031,3.4,330.0,20.0,1.4
0.031,3.4,330.0,20.0,1.5
0.031,3.4,330.0,20.0,1.6
0.031,3.4,335.0,20.0,1.0
0.031,3.4,335.0,20.0,1.1
0.031,3.4,335.0,20.0,1.2
0.031,3.4,335.0,20.0,1.3
0.031,3.4,335.0,20.0,1.4
0.031,3.4,335.0,20.0,1.5
0.031,3.4,335.0,20.0,1.6
0.031,3.4,335.0,20.0,1.7
0.031,3.4,340.0,20.0,1.0
0.031,3.4,340.0,20.0,1.1
0.031,3.4,340.0,20.0,1.2
0.031,3.4,340.0,20.0,1.3
0.031,3.4,340.0,20.0,1.4
0.031,3.4,340.0,20.0,1.5
0.031,3.4,340.0,20.0,1.6
0.031,3.4,340.0,20.0,1.7
0.031,3.4,340.0,20.0,1.8
0.031,3.4,345.0,20.0,1.0
0.031,3.4,345.0,20.0,1.1
0.031,3.4,345.0,20.0,1.2
0.031,3.4,345.0,20.0,1.3
0.031,3.4,345.0,20.0,1.4
0.031,3.4,345.0,20.0,1.5
0.031,3.4,345.0,20.0,1.6
0.031,3.4,345.0,20.0,1.7
0.031,3.4,345.0,20.0,1.8
0.031,3.4,345.0,20.0,1.9
0.031,3.4,345.0,20.0,2.0
0.031,3.4,350.0,20.0,1.0
0.031,3.4,350.0,20.0,1.1
0.031,3.4,350.0,20.0,1.2
0.031,3.4,350.0,20.0,1.3
0.031,3.4,350.0,20.0,1.4
0.031,3.4,350.0,20.0,1.5
0.031,3.4,350.0,20.0,1.6
0.031,3.4,350.0,20.0,1.7
0.031,3.4,350.0,20.0,1.8
0.031,3.4,350.0,20.0,1.9
0.031,3.4,350.0,20.0,2.0
0.031,3.4,350.0,20.0,2.1
0.031,3.5,300.0,20.0,1.0
0.031,3.5,305.0,20.0,1.0
0.031,3.5,310.0,20.0,1.0
0.031,3.5,310.0,20.0,1.1
0.031,3.5,315.0,20.0,1.0
0.031,3.5,315.0,20.0,1.1
0.031,3.5,315.0,20.0,1.2
0.031,3.5,320.0,20.0,1.0
0.031,3.5,320.0,20.0,1.1
0.031,3.5,320.0,20.0,1.2
0.031,3.5,320.0,20.0,1.3
0.031,3.5,325.0,20.0,1.0
0.031,3.5,325.0,20.0,1.1
0.031,3.5,325.0,20.0,1.2
0.031,3.5,325.0,20.0,1.3
0.031,3.5,325.0,20.0,1.4
0.031,3.5,330.0,20.0,1.0
0.031,3.5,330.0,20.0,1.1
0.031,3.5,330.0,20.0,1.2
0.031,3.5,330.0,20.0,1.3
0.031,3.5,330.0,20.0,1.4
0.031,3.5,330.0,20.0,1.5
0.031,3.5,335.0,20.0,1.0
0.031,3.5,335.0,20.0,1.1
0.031,3.5,335.0,20.0,1.2
0.031,3.5,335.0,20.0,1.3
0.031,3.5,335.0,20.0,1.4
0.031,3.5,335.0,20.0,1.5
0.031,3.5,335.0,20.0,1.6
0.031,3.5,340.0,20.0,1.0
0.031,3.5,340.0,20.0,1.1
0.031,3.5,340.0,20.0,1.2
0.031,3.5,340.0,20.0,1.3
0.031,3.5,340.0,20.0,1.4
0.031,3.5,340.0,20.0,1.5
0.031,3.5,340.0,20.0,1.6
0.031,3.5,340.0,20.0,1.7
0.031,3.5,340.0,20.0,1.8
0.031,3.5,345.0,20.0,1.0
0.031,3.5,345.0,20.0,1.1
0.031,3.5,345.0,20.0,1.2
0.031,3.5,345.0,20.0,1.3
0.031,3.5,345.0,20.0,1.4
0.031,3.5,345.0,20.0,1.5
0.031,3.5,345.0,20.0,1.6
0.031,3.5,345.0,20.0,1.7
0.031,3.5,345.0,20.0,1.8
0.031,3.5,345.0,20.0,1.9
0.031,3.5,350.0,20.0,1.0
0.031,3.5,350.0,20.0,1.1
0.031,3.5,350.0,20.0,1.2
0.031,3.5,350.0,20.0,1.3
0.031,3.5,350.0,20.0,1.4
0.031,3.5,350.0,20.0,1.5
0.031,3.5,350.0,20.0,1.6
0.031,3.5,350.0,20.0,1.7
0.031,3.5,350.0,20.0,1.8
0.031,3.5,350.0,20.0,1.9
0.031,3.5,350.0,20.0,2.0
0.031,3.6,305.0,20.0,1.0
0.031,3.6,310.0,20.0,1.0
0.031,3.6,310.0,20.0,1.1
0.031,3.6,315.0,20.0,1.0
0.031,3.6,315.0,20.0,1.1
0.031,3.6,315.0,20.0,1.2
0.031,3.6,320.0,20.0,1.0
0.031,3.6,320.0,20.0,1.1
0.031,3.6,320.0,20.0,1.2
0.031,3.6,320.0,20.0,1.3
0.031,3.6,325.0,20.0,1.0
0.031,3.6,325.0,20.0,1.1
0.031,3.6,325.0,20.0,1.2
0.031,3.6,325.0,20.0,1.3
0.031,3.6,325.0,20.0,1.4
0.031,3.6,330.0,20.0,1.0
0.031,3.6,330.0,20.0,1.1
0.031,3.6,330.0,20.0,1.2
0.031,3.6,330.0,20.0,1.3
0.031,3.6,330.0,20.0,1.4
0.031,3.6,330.0,20.0,1.5
0.031,3.6,335.0,20.0,1.0
0.031,3.6,335.0,20.0,1.1
0.031,3.6,335.0,20.0,1.2
0.031,3.6,335.0,20.0,1.3
0.031,3.6,335.0,20.0,1.4
0.031,3.6,335.0,20.0,1.5
0.031,3.6,335.0,20.0,1.6
0.031,3.6,340.0,20.0,1.0
0.031,3.6,340.0,20.0,1.1
0.031,3.6,340.0,20.0,1.2
0.031,3.6,340.0,20.0,1.3
0.031,3.6,340.0,20.0,1.4
0.031,3.6,340.0,20.0,1.5
0.031,3.6,340.0,20.0,1.6
0.031,3.6,340.0,20.0,1.7
0.031,3.6,345.0,20.0,1.0
0.031,3.6,345.0,20.0,1.1
0.031,3.6,345.0,20.0,1.2
0.031,3.6,345.0,20.0,1.3
0.031,3.6,345.0,20.0,1.4
0.031,3.6,345.0,20.0,1.5
0.031,3.6,345.0,20.0,1.6
0.031,3.6,345.0,20.0,1.7
0.031,3.6,345.0,20.0,1.8
0.031,3.6,350.0,20.0,1.0
0.031,3.6,350.0,20.0,1.1
0.031,3.6,350.0,20.0,1.2
0.031,3.6,350.0,20.0,1.3
0.031,3.6,350.0,20.0,1.4
0.031,3.6,350.0,20.0,1.5
0.031,3.6,350.0,20.0,1.6
0.031,3.6,350.0,20.0,1.7
0.031,3.6,350.0,20.0,1.8
0.031,3.6,350.0,20.0,1.9
0.031,3.6,350.0,20.0,2.0
0.031,3.7,305.0,20.0,1.0
0.031,3.7,310.0,20.0,1.0
0.031,3.7,310.0,20.0,1.1
0.031,3.7,315.0,20.0,1.0
0.031,3.7,315.0,20.0,1.1
0.031,3.7,320.0,20.0,1.0
0.031,3.7,320.0,20.0,1.1
0.031,3.7,320.0,20.0,1.2
0.031,3.7,325.0,20.0,1.0
0.031,3.7,325.0,20.0,1.1
0.031,3.7,325.0,20.0,1.2
0.031,3.7,325.0,20.0,1.3
0.031,3.7,330.0,20.0,1.0
0.031,3.7,330.0,20.0,1.1
0.031,3.7,330.0,20.0,1.2
0.031,3.7,330.0,20.0,1.3
0.031,3.7,330.0,20.0,1.4
0.031,3.7,335.0,20.0,1.0
0.031,3.7,335.0,20.0,1.1
0.031,3.7,335.0,20.0,1.2
0.031,3.7,335.0,20.0,1.3
0.031,3.7,335.0,20.0,1.4
0.031,3.7,335.0,20.0,1.5
0.031,3.7,340.0,20.0,1.0
0.031,3.7,340.0,20.0,1.1
0.031,3.7,340.0,20.0,1.2
0.031,3.7,340.0,20.0,1.3
0.031,3.7,340.0,20.0,1.4
0.031,3.7,340.0,20.0,1.5
0.031,3.7,340.0,20.0,1.6
0.031,3.7,345.0,20.0,1.0
0.031,3.7,345.0,20.0,1.1
0.031,3.7,345.0,20.0,1.2
0.031,3.7,345.0,20.0,1.3
0.031,3.7,345.0,20.0,1.4
0.031,3.7,345.0,20.0,1.5
0.031,3.7,345.0,20.0,1.6
0.031,3.7,345.0,20.0,1.7
0.031,3.7,345.0,20.0,1.8
0.031,3.7,350.0,20.0,1.0
0.031,3.7,350.0,20.0,1.1
0.031,3.7,350.0,20.0,1.2
0.031,3.7,350.0,20.0,1.3
0.031,3.7,350.0,20.0,1.4
0.031,3.7,350.0,20.0,1.5
0.031,3.7,350.0,20.0,1.6
0.031,3.7,350.0,20.0,1.7
0.031,3.7,350.0,20.0,1.8
0.031,3.7,350.0,20.0,1.9
0.031,3.8,305.0,20.0,1.0
0.031,3.8,310.0,20.0,1.0
0.031,3.8,315.0,20.0,1.0
0.031,3.8,315.0,20.0,1.1
0.031,3.8,320.0,20.0,1.0
0.031,3.8,320.0,20.0,1.1
0.031,3.8,320.0,20.0,1.2
0.031,3.8,325.0,20.0,1.0
0.031,3.8,325.0,20.0,1.1
0.031,3.8,325.0,20.0,1.2
0.031,3.8,325.0,20.0,1.3
0.031,3.8,330.0,20.0,1.0
0.031,3.8,330.0,20.0,1.1
0.031,3.8,330.0,20.0,1.2
0.031,3.8,330.0,20.0,1.3
0.031,3.8,330.0,20.0,1.4
0.031,3.8,335.0,20.0,1.0
0.031,3.8,335.0,20.0,1.1
0.031,3.8,335.0,20.0,1.2
0.031,3.8,335.0,20.0,1.3
0.031,3.8,335.0,20.0,1.4
0.031,3.8,335.0,20.0,1.5
0.031,3.8,340.0,20.0,1.0
