K,n,δ,A,up
0.011,2.4,325.0,20.0,1.0
0.011,2.4,330.0,20.0,1.0
0.011,2.4,330.0,20.0,1.1
0.011,2.4,335.0,20.0,1.0
0.011,2.4,335.0,20.0,1.1
0.011,2.4,335.0,20.0,1.2
0.011,2.4,340.0,20.0,1.0
0.011,2.4,340.0,20.0,1.1
0.011,2.4,340.0,20.0,1.2
0.011,2.4,340.0,20.0,1.3
0.011,2.4,340.0,20.0,1.4
0.011,2.4,345.0,20.0,1.0
0.011,2.4,345.0,20.0,1.1
0.011,2.4,345.0,20.0,1.2
0.011,2.4,345.0,20.0,1.3
0.011,2.4,345.0,20.0,1.4
0.011,2.4,345.0,20.0,1.5
0.011,2.4,350.0,20.0,1.0
0.011,2.4,350.0,20.0,1.1
0.011,2.4,350.0,20.0,1.2
0.011,2.4,350.0,20.0,1.3
0.011,2.4,350.0,20.0,1.4
0.011,2.4,350.0,20.0,1.5
0.011,2.4,350.0,20.0,1.6
0.011,2.5,330.0,20.0,1.0
0.011,2.5,335.0,20.0,1.0
0.011,2.5,335.0,20.0,1.1
0.011,2.5,340.0,20.0,1.0
0.011,2.5,340.0,20.0,1.1
0.011,2.5,340.0,20.0,1.2
0.011,2.5,345.0,20.0,1.0
0.011,2.5,345.0,20.0,1.1
0.011,2.5,345.0,20.0,1.2
0.011,2.5,345.0,20.0,1.3
0.011,2.5,350.0,20.0,1.0
0.011,2.5,350.0,20.0,1.1
0.011,2.5,350.0,20.0,1.2
0.011,2.5,350.0,20.0,1.3
0.011,2.5,350.0,20.0,1.4
0.011,2.6,335.0,20.0,1.0
0.011,2.6,340.0,20.0,1.0
0.011,2.6,340.0,20.0,1.1
0.011,2.6,345.0,20.0,1.0
0.011,2.6,345.0,20.0,1.1
0.011,2.6,345.0,20.0,1.2
0.011,2.6,350.0,20.0,1.0
0.011,2.6,350.0,20.0,1.1
0.011,2.6,350.0,20.0,1.2
0.011,2.6,350.0,20.0,1.3
0.011,2.7,340.0,20.0,1.0
0.011,2.7,345.0,20.0,1.0
0.011,2.7,345.0,20.0,1.1
0.011,2.7,350.0,20.0,1.0
0.011,2.7,350.0,20.0,1.1
0.011,2.7,350.0,20.0,1.2
0.011,2.8,345.0,20.0,1.0
0.011,2.8,350.0,20.0,1.0
0.011,2.8,350.0,20.0,1.1
0.011,2.9,350.0,20.0,1.0
0.031,1.5,260.0,20.0,2.9
0.031,1.6,255.0,20.0,1.9
0.031,1.6,255.0,20.0,2.0
0.031,1.6,260.0,20.0,2.1
0.031,1.6,260.0,20.0,2.2
0.031,1.6,260.0,20.0,2.3
0.031,1.6,265.0,20.0,2.3
0.031,1.6,265.0,20.0,2.4
0.031,1.6,265.0,20.0,2.5
0.031,1.6,265.0,20.0,2.6
0.031,1.6,270.0,20.0,2.5
0.031,1.6,270.0,20.0,2.6
0.031,1.6,270.0,20.0,2.7
0.031,1.6,270.0,20.0,2.8
0.031,1.6,270.0,20.0,2.9
0.031,1.6,270.0,20.0,3.0
0.031,1.6,275.0,20.0,2.8
0.031,1.6,275.0,20.0,2.9
0.031,1.6,275.0,20.0,3.0
0.031,1.7,250.0,20.0,1.4
0.031,1.7,255.0,20.0,1.5
0.031,1.7,255.0,20.0,1.6
0.031,1.7,260.0,20.0,1.6
0.031,1.7,260.0,20.0,1.7
0.031,1.7,260.0,20.0,1.8
0.031,1.7,260.0,20.0,1.9
0.031,1.7,265.0,20.0,1.8
0.031,1.7,265.0,20.0,1.9
0.031,1.7,265.0,20.0,2.0
0.031,1.7,265.0,20.0,2.1
0.031,1.7,270.0,20.0,2.0
0.031,1.7,270.0,20.0,2.1
0.031,1.7,270.0,20.0,2.2
0.031,1.7,270.0,20.0,2.3
0.031,1.7,270.0,20.0,2.4
0.031,1.7,275.0,20.0,2.2
0.031,1.7,275.0,20.0,2.3
0.031,1.7,275.0,20.0,2.4
0.031,1.7,275.0,20.0,2.5
0.031,1.7,275.0,20.0,2.6
0.031,1.7,275.0,20.0,2.7
0.031,1.7,280.0,20.0,2.4
0.031,1.7,280.0,20.0,2.5
0.031,1.7,280.0,20.0,2.6
0.031,1.7,280.0,20.0,2.7
0.031,1.7,280.0,20.0,2.8
0.031,1.7,280.0,20.0,2.9
0.031,1.7,280.0,20.0,3.0
0.031,1.7,285.0,20.0,2.7
0.031,1.7,285.0,20.0,2.8
0.031,1.7,285.0,20.0,2.9
0.031,1.7,285.0,20.0,3.0
0.031,1.7,290.0,20.0,3.0
0.031,1.8,250.0,20.0,1.1
0.031,1.8,250.0,20.0,1.2
0.031,1.8,255.0,20.0,1.2
0.031,1.8,255.0,20.0,1.3
0.031,1.8,255.0,20.0,1.4
0.031,1.8,260.0,20.0,1.3
0.031,1.8,260.0,20.0,1.4
0.031,1.8,260.0,20.0,1.5
0.031,1.8,260.0,20.0,1.6
0.031,1.8,265.0,20.0,1.5
0.031,1.8,265.0,20.0,1.6
0.031,1.8,265.0,20.0,1.7
0.031,1.8,265.0,20.0,1.8
0.031,1.8,270.0,20.0,1.6
0.031,1.8,270.0,20.0,1.7
0.031,1.8,270.0,20.0,1.8
0.031,1.8,270.0,20.0,1.9
0.031,1.8,270.0,20.0,2.0
0.031,1.8,275.0,20.0,1.8
0.031,1.8,275.0,20.0,1.9
0.031,1.8,275.0,20.0,2.0
0.031,1.8,275.0,20.0,2.1
0.031,1.8,275.0,20.0,2.2
0.031,1.8,275.0,20.0,2.3
0.031,1.8,280.0,20.0,1.9
0.031,1.8,280.0,20.0,2.0
0.031,1.8,280.0,20.0,2.1
0.031,1.8,280.0,20.0,2.2
0.031,1.8,280.0,20.0,2.3
0.031,1.8,280.0,20.0,2.4
0.031,1.8,280.0,20.0,2.5
0.031,1.8,285.0,20.0,2.1
0.031,1.8,285.0,20.0,2.2
0.031,1.8,285.0,20.0,2.3
0.031,1.8,285.0,20.0,2.4
0.031,1.8,285.0,20.0,2.5
0.031,1.8,285.0,20.0,2.6
0.031,1.8,285.0,20.0,2.7
0.031,1.8,285.0,20.0,2.8
0.031,1.8,290.0,20.0,2.3
0.031,1.8,290.0,20.0,2.4
0.031,1.8,290.0,20.0,2.5
0.031,1.8,290.0,20.0,2.6
0.031,1.8,290.0,20.0,2.7
0.031,1.8,290.0,20.0,2.8
0.031,1.8,290.0,20.0,2.9
0.031,1.8,290.0,20.0,3.0
0.031,1.8,295.0,20.0,2.6
0.031,1.8,295.0,20.0,2.7
0.031,1.8,295.0,20.0,2.8
0.031,1.8,295.0,20.0,2.9
0.031,1.8,295.0,20.0,3.0
0.031,1.8,300.0,20.0,2.8
0.031,1.8,300.0,20.0,2.9
0.031,1.8,300.0,20.0,3.0
0.031,1.9,250.0,20.0,1.0
0.031,1.9,250.0,20.0,1.1
0.031,1.9,255.0,20.0,1.0
0.031,1.9,255.0,20.0,1.1
0.031,1.9,255.0,20.0,1.2
0.031,1.9,260.0,20.0,1.1
0.031,1.9,260.0,20.0,1.2
0.031,1.9,260.0,20.0,1.3
0.031,1.9,260.0,20.0,1.4
0.031,1.9,265.0,20.0,1.2
0.031,1.9,265.0,20.0,1.3
0.031,1.9,265.0,20.0,1.4
0.031,1.9,265.0,20.0,1.5
0.031,1.9,270.0,20.0,1.3
0.031,1.9,270.0,20.0,1.4
0.031,1.9,270.0,20.0,1.5
0.031,1.9,270.0,20.0,1.6
0.031,1.9,270.0,20.0,1.7
0.031,1.9,275.0,20.0,1.5
0.031,1.9,275.0,20.0,1.6
0.031,1.9,275.0,20.0,1.7
0.031,1.9,275.0,20.0,1.8
0.031,1.9,275.0,20.0,1.9
0.031,1.9,280.0,20.0,1.6
0.031,1.9,280.0,20.0,1.7
0.031,1.9,280.0,20.0,1.8
0.031,1.9,280.0,20.0,1.9
0.031,1.9,280.0,20.0,2.0
0.031,1.9,280.0,20.0,2.1
0.031,1.9,285.0,20.0,1.7
0.031,1.9,285.0,20.0,1.8
0.031,1.9,285.0,20.0,1.9
0.031,1.9,285.0,20.0,2.0
0.031,1.9,285.0,20.0,2.1
0.031,1.9,285.0,20.0,2.2
0.031,1.9,285.0,20.0,2.3
0.031,1.9,285.0,20.0,2.4
0.031,1.9,290.0,20.0,1.9
0.031,1.9,290.0,20.0,2.0
0.031,1.9,290.0,20.0,2.1
0.031,1.9,290.0,20.0,2.2
0.031,1.9,290.0,20.0,2.3
0.031,1.9,290.0,20.0,2.4
0.031,1.9,290.0,20.0,2.5
0.031,1.9,290.0,20.0,2.6
0.031,1.9,290.0,20.0,2.7
0.031,1.9,295.0,20.0,2.1
0.031,1.9,295.0,20.0,2.2
0.031,1.9,295.0,20.0,2.3
0.031,1.9,295.0,20.0,2.4
0.031,1.9,295.0,20.0,2.5
0.031,1.9,295.0,20.0,2.6
0.031,1.9,295.0,20.0,2.7
0.031,1.9,295.0,20.0,2.8
0.031,1.9,295.0,20.0,2.9
0.031,1.9,295.0,20.0,3.0
0.031,1.9,300.0,20.0,2.3
0.031,1.9,300.0,20.0,2.4
0.031,1.9,300.0,20.0,2.5
0.031,1.9,300.0,20.0,2.6
0.031,1.9,300.0,20.0,2.7
0.031,1.9,300.0,20.0,2.8
0.031,1.9,300.0,20.0,2.9
0.031,1.9,300.0,20.0,3.0
0.031,1.9,305.0,20.0,2.5
0.031,1.9,305.0,20.0,2.6
0.031,1.9,305.0,20.0,2.7
0.031,1.9,305.0,20.0,2.8
0.031,1.9,305.0,20.0,2.9
0.031,1.9,305.0,20.0,3.0
0.031,1.9,310.0,20.0,2.7
