K,n,δ,A,up
0.051,6.6,335.0,20.0,1.1
0.051,6.6,335.0,20.0,1.2
0.051,6.6,335.0,20.0,1.3
0.051,6.6,335.0,20.0,1.4
0.051,6.6,335.0,20.0,1.5
0.051,6.6,335.0,20.0,1.6
0.051,6.6,340.0,20.0,1.0
0.051,6.6,340.0,20.0,1.1
0.051,6.6,340.0,20.0,1.2
0.051,6.6,340.0,20.0,1.3
0.051,6.6,340.0,20.0,1.4
0.051,6.6,340.0,20.0,1.5
0.051,6.6,340.0,20.0,1.6
0.051,6.6,340.0,20.0,1.7
0.051,6.6,345.0,20.0,1.0
0.051,6.6,345.0,20.0,1.1
0.051,6.6,345.0,20.0,1.2
0.051,6.6,345.0,20.0,1.3
0.051,6.6,345.0,20.0,1.4
0.051,6.6,345.0,20.0,1.5
0.051,6.6,345.0,20.0,1.6
0.051,6.6,345.0,20.0,1.7
0.051,6.6,345.0,20.0,1.8
0.051,6.6,350.0,20.0,1.0
0.051,6.6,350.0,20.0,1.1
0.051,6.6,350.0,20.0,1.2
0.051,6.6,350.0,20.0,1.3
0.051,6.6,350.0,20.0,1.4
0.051,6.6,350.0,20.0,1.5
0.051,6.6,350.0,20.0,1.6
0.051,6.6,350.0,20.0,1.7
0.051,6.6,350.0,20.0,1.8
0.051,6.6,350.0,20.0,1.9
0.051,6.7,290.0,20.0,1.0
0.051,6.7,295.0,20.0,1.0
0.051,6.7,300.0,20.0,1.0
0.051,6.7,300.0,20.0,1.1
0.051,6.7,305.0,20.0,1.0
0.051,6.7,305.0,20.0,1.1
0.051,6.7,310.0,20.0,1.0
0.051,6.7,310.0,20.0,1.1
0.051,6.7,310.0,20.0,1.2
0.051,6.7,315.0,20.0,1.0
0.051,6.7,315.0,20.0,1.1
0.051,6.7,315.0,20.0,1.2
0.051,6.7,315.0,20.0,1.3
0.051,6.7,320.0,20.0,1.0
0.051,6.7,320.0,20.0,1.1
0.051,6.7,320.0,20.0,1.2
0.051,6.7,320.0,20.0,1.3
0.051,6.7,320.0,20.0,1.4
0.051,6.7,325.0,20.0,1.0
0.051,6.7,325.0,20.0,1.1
0.051,6.7,325.0,20.0,1.2
0.051,6.7,325.0,20.0,1.3
0.051,6.7,325.0,20.0,1.4
0.051,6.7,330.0,20.0,1.0
0.051,6.7,330.0,20.0,1.1
0.051,6.7,330.0,20.0,1.2
0.051,6.7,330.0,20.0,1.3
0.051,6.7,330.0,20.0,1.4
0.051,6.7,330.0,20.0,1.5
