Binary,Integer,Number of Gates,Optimal Network
10.01.01.11,151,9,"O = NAND(I1, I6)
I1 = NAND(I2, I9)
I2 = NAND(c, I3)
I3 = NAND(c, I4)
I4 = NAND(I5, I7)
I5 = NAND(b, I6)
I6 = NAND(b, a)
I7 = NAND(a, I6)"
10.01.10.00,152,6,"O = NAND(I1, I7)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(a, b)
I4 = NAND(b, I2)"
10.01.10.10,154,6,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(c, I3)
I3 = NAND(b, I4)
I4 = NAND(a)"
10.01.10.11,155,6,"O = NAND(I1, I6)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(c, b)
I4 = NAND(b, I3)"
10.01.11.10,158,8,"O = NAND(I1, I7)
I1 = NAND(I2, I5)
I2 = NAND(c, I3)
I3 = NAND(b, I4)
I4 = NAND(a)
I5 = NAND(b, I6)
I6 = NAND(c, b)
I7 = NAND(a, I6)"
10.01.11.11,159,6,"O = NAND(I1, I6)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(c, b)
I4 = NAND(b, I3)"
10.10.10.00,168,4,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(a, b)"
10.10.10.01,169,5,"O = NAND(I1, I5)
I1 = NAND(I2, I3)
I2 = NAND(c, I3)
I3 = NAND(a, b)"
10.10.10.11,171,2,"O = NAND(I1, c)
I1 = NAND(a, b)"
10.10.11.00,172,5,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(a)
I4 = NAND(a, b)"
10.10.11.01,173,5,"O = NAND(I1, I4)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(a, b)
I4 = NAND(c, a)"
10.10.11.10,174,3,"O = NAND(I1, c)
I1 = NAND(I2, a)
I2 = NAND(b)"
10.11.11.00,188,6,"O = NAND(I1, I5)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(b)
I4 = NAND(a, b)
I5 = NAND(a, I4)"
10.11.11.01,189,6,"O = NAND(I1, I5)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(b)
I4 = NAND(a, b)
I5 = NAND(a, c)"
10.11.11.10,190,6,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(a, b)
I3 = NAND(I4)
I4 = NAND(c, I5)
I5 = NAND(a, I2)"
10.11.11.11,191,5,"O = NAND(I1, I2)
I1 = NAND(b)
I2 = NAND(I3)
I3 = NAND(I4, c)
I4 = NAND(a)"
11.10.10.00,232,7,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(a, I4)
I4 = NAND(I5, I6)
I5 = NAND(c)
I6 = NAND(b)"
11.10.10.01,233,8,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(a, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I2)
I7 = NAND(b, I2)"
11.10.10.10,234,4,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(a, c)"
11.10.10.11,235,5,"O = NAND(I1, c)
I1 = NAND(I2, I4)
I2 = NAND(b, I3)
I3 = NAND(b, a)
I4 = NAND(a, I3)"
11.10.11.11,239,4,"O = NAND(I1, I2)
I1 = NAND(a)
I2 = NAND(I3)
I3 = NAND(b, c)"
11.11.11.10,254,3,"O = NAND(a, I1)
I1 = NAND(I2)
I2 = NAND(b, c)"
